candidate_index,config_id,state_id,s2,candidate_stratum,corrected_class,class_certainty_score,probability_semantics_valid,reference_action_class_valid,minimum_arm_ESS,p_ref_full,P_base,P_widen,P_shrink,M2_base,M2_widen,M2_shrink,ambiguity_or_invalid_reason
64,m1d_b20260827_c020,c020_s2_00160,1.6,G-W,WIDEN,6.249108857893307,True,True,37806.63516225899,0.11257399999999998,0.11223351995395434,0.11202430275942202,0.11221959982790024,0.1436501010132891,0.12689801862175085,0.1665479952326655,
63,m1d_b20260827_c020,c020_s2_00125,1.25,G-W,WIDEN,7.895075085487496,True,True,30394.334137766007,0.11257399999999998,0.11255738698029402,0.11237244966610342,0.1126705431450549,0.17542297725085015,0.14972716706172234,0.20883252837620375,
65,m1d_b20260827_c020,c020_s2_00200,2.0,G-W,WIDEN,4.598540901199654,True,True,43669.99325568619,0.11257399999999998,0.11215425784922832,0.11220472406863821,0.1123869709980277,0.12797630515240369,0.11758162584245657,0.14461682162576112,
46,m1d_b20260827_c010,c010_s2_00160,1.6,G-W,WIDEN,5.911114778700151,True,True,32353.529288502854,0.096929,0.09637596621648456,0.09604649968797974,0.09629335862757377,0.12239006168728286,0.10499150308192735,0.14329829109360223,
1,m1d_b20260827_c000,c000_s2_00160,1.6,G-W,WIDEN,3.899744315101791,True,True,58027.774030697765,0.067063,0.06701489508316047,0.06707265499319418,0.06695777016188768,0.03459064064281104,0.03232755048497743,0.038631009546225274,
45,m1d_b20260827_c010,c010_s2_00125,1.25,G-W,WIDEN,6.196345114081621,True,True,25923.051738613012,0.096929,0.09703832311920968,0.09731562634701521,0.0967366492720945,0.153661015400756,0.13202285198891364,0.18049532529484721,
12,m1d_b20260827_c001,c001_s2_00250,2.5,G-H,WIDEN,3.494966775798541,True,True,56041.81826603517,0.089218,0.08933766203855627,0.08924679315295843,0.08944436007653297,0.06373426327492301,0.060265132572710975,0.07137789062733857,
20,m1d_b20260827_c004,c004_s2_00200,2.0,G-W,WIDEN,3.935707398027376,True,True,26853.88974887171,0.09350000000000001,0.09302884471715353,0.09334272819808911,0.09318968845417742,0.13315120320915647,0.11741842391505346,0.1616957192309827,
47,m1d_b20260827_c010,c010_s2_00200,2.0,G-W,WIDEN,5.278000394367868,True,True,37527.39824392171,0.096929,0.09718970838525788,0.09726646609022618,0.09765844503417373,0.10852626970421149,0.09764321752651091,0.12706945235721825,
11,m1d_b20260827_c001,c001_s2_00200,2.0,G-W,WIDEN,3.856604527431983,True,True,44960.49906356655,0.089218,0.08922305342512638,0.08937516361101557,0.08903735269042132,0.07206885227277669,0.06435910869878611,0.08816239075671867,
48,m1d_b20260827_c010,c010_s2_00250,2.5,G-H,WIDEN,4.163850880433365,True,True,44458.351675841834,0.096929,0.09719247893409108,0.09703588584438072,0.09698189256001985,0.09587326741380206,0.08755114012697861,0.10577863472201185,
66,m1d_b20260827_c020,c020_s2_00250,2.5,G-H,WIDEN,2.8565563181863554,True,True,49938.65614513951,0.11257399999999998,0.1126103195780603,0.11253201773651014,0.1126150176027585,0.11716193496637042,0.111107907557533,0.12697720732422982,
14,m1d_b20260827_c001,c001_s2_00400,4.0,G-H,HOLD,0.23033950058339026,True,True,66206.31109226936,0.089218,0.08872145240715854,0.0889517864161975,0.08864158481758339,0.05840717507108414,0.05975578593712586,0.05868349209786754,
36,m1d_b20260827_c007,c007_s2_00125,1.25,G-W,HOLD,0.3636092084566158,True,True,25260.424742287094,0.08674899999999999,0.08672609107297853,0.08684936389555917,0.08669484589061066,0.14650396034102958,0.14930097347959964,0.1459528661491113,
27,m1d_b20260827_c006,c006_s2_00125,1.25,G-W,AMBIGUOUS,,True,False,8335.354210552552,0.09542,0.09542039694646388,0.09570537358088005,0.09562242820792186,0.510042065988564,0.502974564415195,0.5484859158596593,unsupported_required_contrast
51,m1d_b20260827_c010,c010_s2_00500,5.0,G-S,HOLD,0.33455442297681365,True,True,57882.851688516464,0.096929,0.09736279242189552,0.09734234062962069,0.09736071050980552,0.08027918970242166,0.07986943491982754,0.08188183265385611,
35,m1d_b20260827_c006,c006_s2_00800,8.0,G-S,AMBIGUOUS,,True,False,13667.443390115257,0.09542,0.0964488670851134,0.09547937307519741,0.095519059293981,0.3403117794777061,0.33327532459512227,0.31955099927506103,unsupported_required_contrast
71,m1d_b20260827_c020,c020_s2_00800,8.0,G-S,SHRINK,3.0475377988060406,True,True,48020.0726898429,0.11257399999999998,0.11174685989407138,0.11222234265402867,0.11193433816059066,0.12009344840498364,0.13113114459551875,0.11379189025763255,
7,m1d_b20260827_c000,c000_s2_00640,6.4,G-S,SHRINK,2.864105749318755,True,True,61602.47727282453,0.067063,0.06749858433359571,0.06775345722750375,0.0674296783034082,0.034472419013560504,0.037259304897339404,0.03259196340836515,
6,m1d_b20260827_c000,c000_s2_00500,5.0,G-S,SHRINK,1.805101412564807,True,True,67144.43141432542,0.067063,0.06750929405104018,0.06746244939542763,0.06764672658085173,0.03211545365272831,0.03389098680683465,0.031085374165978945,
17,m1d_b20260827_c001,c001_s2_00800,8.0,G-S,SHRINK,2.762416993961126,True,True,55287.16714639395,0.089218,0.08892168390419734,0.08904990347511185,0.08866815215877208,0.06686092470457644,0.071715424376233,0.06301213477923642,
5,m1d_b20260827_c000,c000_s2_00400,4.0,G-H,SHRINK,0.4549867646581504,True,True,71033.53862836523,0.067063,0.06717628183968259,0.06716280656844366,0.06723383499586626,0.030672745608630543,0.031751498469969934,0.030226461219667704,
8,m1d_b20260827_c000,c000_s2_00800,8.0,G-S,SHRINK,3.0126776062449916,True,True,56974.39913343609,0.067063,0.06738797471938088,0.06716921680788876,0.06724475880291947,0.037037878496674684,0.03959413135730132,0.03441071224719768,
70,m1d_b20260827_c020,c020_s2_00640,6.4,G-S,SHRINK,2.1672803975911816,True,True,51961.38807620222,0.11257399999999998,0.11294003276346218,0.11333615140887099,0.11301450363665096,0.11563542658557355,0.12360219474253657,0.11151768960884156,
16,m1d_b20260827_c001,c001_s2_00640,6.4,G-S,SHRINK,1.7669283445174366,True,True,59452.6926317828,0.089218,0.08933222856313784,0.08905337252447922,0.0894274580263613,0.06378219637236367,0.06669591238786134,0.06128187802360311,
53,m1d_b20260827_c010,c010_s2_00800,8.0,G-S,SHRINK,1.2699690155517642,True,True,55529.65092447426,0.096929,0.09727053641267748,0.09709859931417583,0.09717895452357761,0.08184707372642366,0.08489282601108059,0.07982411817244331,
26,m1d_b20260827_c004,c004_s2_00800,8.0,G-S,SHRINK,1.5924511823908445,True,True,44900.12982897197,0.09350000000000001,0.09311619249188816,0.09308009529662042,0.09295401652652327,0.09150478108701662,0.09647972259133117,0.0887447714578736,
